Designator,Mid X,Mid Y,Rotation,Layer
D1,-4.7,44.3,180.0,top
D10,-50.5,60.47,90.0,top
D11,-51.29,39.2875,90.0,top
D12,-22.56,19.13,180.0,top
D2,-4.7,38.3,180.0,top
D3,-4.7,32.3,180.0,top
D4,-4.7,51.3,180.0,top
J7,20.372,83.872,0.0,top
R1,-4.6,53.3,0.0,top
R10,13.43,42.64,270.0,top
R11,-50.52,56.54,90.0,top
R12,-51.31,35.6075,90.0,top
R13,-18.59,19.08,180.0,top
R2,-4.5,46.2,0.0,top
R3,-4.6,40.2,0.0,top
R4,-4.5,34.0,0.0,top
R5,9.27,42.64,270.0,top
R6,11.35,42.64,270.0,top
R7,-22.52,74.23,0.0,top
R8,-16.6,74.23,180.0,top
R9,-12.42,74.22,0.0,top
U1,-47.9,66.8,270.0,top
U2,-48.0,45.3,270.0,top
U3,-31.307,21.037,270.0,top
